rgn_id,year,sector,value
4,2008,fishing,18524431512
4,2008,hospitality,10853890188
4,2008,transport,1.21268E+11
4,2009,fishing,20402226733
4,2009,hospitality,9994973038
4,2009,transport,1.14703E+11
4,2010,fishing,20587283712
4,2010,hospitality,11694500759
4,2010,transport,1.43257E+11
4,2011,fishing,26013875409
4,2011,hospitality,13070780426
4,2011,transport,1.64178E+11
4,2012,fishing,27636142289
4,2012,hospitality,15087798612
4,2012,transport,2.17153E+11
4,2013,fishing,31778976050
4,2013,hospitality,17058636489
4,2013,transport,2.29002E+11
4,2014,fishing,42238897706
4,2014,hospitality,18273855989
4,2014,transport,2.44083E+11
