rgn_id,sector,year,value
1,tourism,2004,598
1,transport,2004,823
1,tourism,2005,745
1,transport,2005,656
1,tourism,2006,671
1,transport,2006,688
1,tourism,2007,685
1,transport,2007,734
1,tourism,2008,749
1,transport,2008,776
1,tourism,2009,729
1,transport,2009,834
1,tourism,2010,712
1,transport,2010,900
1,tourism,2011,717
1,transport,2011,892
1,tourism,2012,745
1,transport,2012,931
1,tourism,2013,723
1,transport,2013,980
1,tourism,2014,891
1,transport,2014,991
2,fishing,2008,320
2,tourism,2008,340
2,transport,2008,570
2,fishing,2009,67
2,tourism,2009,325
2,transport,2009,608
2,fishing,2010,383
2,tourism,2010,292
2,transport,2010,600
2,fishing,2011,425
2,tourism,2011,283
2,transport,2011,683
2,fishing,2012,475
2,tourism,2012,333
2,transport,2012,833
2,fishing,2013,458
2,tourism,2013,483
2,transport,2013,958
2,fishing,2014,300
2,tourism,2014,458
2,transport,2014,592
3,tourism,2001,270
3,transport,2001,213
3,tourism,2002,313
3,transport,2002,256
3,tourism,2003,313
3,transport,2003,284
3,tourism,2004,298
3,transport,2004,312
3,tourism,2005,298
3,transport,2005,312
3,tourism,2006,284
3,transport,2006,256
3,tourism,2007,284
3,transport,2007,270
3,tourism,2008,298
3,transport,2008,270
3,tourism,2009,228
3,transport,2009,241
3,tourism,2010,228
3,transport,2010,256
3,tourism,2011,298
3,transport,2011,298
3,tourism,2012,284
3,transport,2012,241
3,tourism,2013,270
3,transport,2013,256
3,tourism,2014,256
3,transport,2014,199
3,tourism,2015,270
3,transport,2015,199
4,fishing,2010,81553
4,tourism,2010,20556
4,transport,2010,139621
4,fishing,2011,81898
4,tourism,2011,20900
4,transport,2011,140898
4,fishing,2012,80479
4,tourism,2012,22679
4,transport,2012,141925
4,fishing,2013,77682
4,tourism,2013,24290
4,transport,2013,141257
4,fishing,2014,76700
4,tourism,2014,24855
4,transport,2014,138693
5,education,2008,143
5,tourism,2008,167
5,transport,2008,110
5,education,2009,124
5,tourism,2009,174
5,transport,2009,99
5,education,2010,117
5,tourism,2010,181
5,transport,2010,103
5,education,2011,138
5,tourism,2011,229
5,transport,2011,104
5,education,2012,150
5,tourism,2012,260
5,transport,2012,111
5,education,2013,153
5,tourism,2013,262
5,transport,2013,113
5,education,2014,163
5,tourism,2014,315
5,transport,2014,98
6,fishing,2009,7188
6,food,2009,6119
6,tourism,2009,532
6,transport,2009,3284
6,fishing,2010,6721
6,food,2010,5982
6,tourism,2010,503
6,transport,2010,3522
6,fishing,2011,6839
6,food,2011,6124
6,tourism,2011,462
6,transport,2011,3269
6,fishing,2012,6498
6,food,2012,6665
6,tourism,2012,433
6,transport,2012,3652
6,fishing,2013,6360
6,food,2013,6626
6,tourism,2013,508
6,transport,2013,3833
6,fishing,2014,6395
6,food,2014,6629
6,tourism,2014,563
6,transport,2014,3660
7,NA,NA,NA
8,fishing,2008,6666.4
8,tourism,2008,1575.2
8,transport,2008,3234.4
8,fishing,2009,6022.4
8,tourism,2009,1470.4
8,transport,2009,3389.6
8,fishing,2010,5548
8,tourism,2010,1454.4
8,transport,2010,3426.4
8,fishing,2011,5342.4
8,tourism,2011,1445.6
8,transport,2011,3329.6
8,fishing,2012,5654.4
8,tourism,2012,1416
8,transport,2012,3282.4
8,fishing,2013,5455.2
8,tourism,2013,1472.8
8,transport,2013,3189.6
8,fishing,2014,5656.8
8,tourism,2014,1412
8,transport,2014,3072.8
9,fishing,2008,1666.6
9,tourism,2008,393.8
9,transport,2008,808.6
9,fishing,2009,1505.6
9,tourism,2009,367.6
9,transport,2009,847.4
9,fishing,2010,1387
9,tourism,2010,363.6
9,transport,2010,856.6
9,fishing,2011,1335.6
9,tourism,2011,361.4
9,transport,2011,832.4
9,fishing,2012,1413.6
9,tourism,2012,354
9,transport,2012,820.6
9,fishing,2013,1363.8
9,tourism,2013,368.2
9,transport,2013,797.4
9,fishing,2014,1414.2
9,tourism,2014,353
9,transport,2014,768.2
