,District,Year,value,,wages,
1,Arhangelsk Region,2010,651665,,431273.4,405126.1932
6,Chukotka Autonomous Okrug,2010,29309,1564772,457761.6,
4,Krasnoyarsk region,2010,18327,,219139.2,
2,Murmansk Region,2010,465536,,288558,
5,The Republic of Sakha (Yakutia),2010,15714,,277057.2,
3,Yamal-Nenets-Autonomous Okrug,2010,384222,,512110.8,
7,Arhangelsk Region,2011,643677,,456522.66,433796.0142
12,Chukotka Autonomous Okrug,2011,34725,1561162,516592.8,
10,Krasnoyarsk region,2011,18337,,241746,
8,Murmansk Region,2011,464661,,303642,
11,The Republic of Sakha (Yakutia),2011,15721,,307402.8,
9,Yamal-Nenets-Autonomous Okrug,2011,384041,,560038.8,
13,Arhangelsk Region,2012,638478,,512786.4,505397.7278
18,Chukotka Autonomous Okrug,2012,32875,1738006,582391.2,
16,Krasnoyarsk region,2012,18272,,270291.6,
14,Murmansk Region,2012,458722,,347190,
17,The Republic of Sakha (Yakutia),2012,15540,,344413.2,
15,Yamal-Nenets-Autonomous Okrug,2012,574120,,631020,
19,Arhangelsk Region,2013,638339,,555231,541703.8724
24,Chukotka Autonomous Okrug,2013,45259,1558715,632338.8,
22,Krasnoyarsk region,2013,18128,,299060.4,
20,Murmansk Region,2013,451293,,394946.4,
23,The Republic of Sakha (Yakutia),2013,15407,,378338.4,
21,Yamal-Nenets-Autonomous Okrug,2013,390289,,696484.8,
25,Arhangelsk Region,2014,640409,,575538,567063.6661
30,Chukotka Autonomous Okrug,2014,44395,1545816,687720,
28,Krasnoyarsk region,2014,17971,,297672,
26,Murmansk Region,2014,438264,,409788,
29,The Republic of Sakha (Yakutia),2014,15407,,410460,
27,Yamal-Nenets-Autonomous Okrug,2014,389370,,735024,
