"","Year","value","rgn_id"
"1","2001",2812,"Beaufort"
"2","2002",2954,"Beaufort"
"3","2003",2996,"Beaufort"
"4","2004",3124,"Beaufort"
"5","2005",3238,"Beaufort"
"6","2006",3266,"Beaufort"
"7","2007",3323,"Beaufort"
"8","2008",3209,"Beaufort"
"9","2009",3010,"Beaufort"
"10","2010",3081,"Beaufort"
"11","2011",3266,"Beaufort"
"12","2012",3294,"Beaufort"
"13","2013",3238,"Beaufort"
"14","2014",3110,"Beaufort"
"15","2015",3110,"Beaufort"
"16","2008",10660,"Nunavut"
"17","2009",10408,"Nunavut"
"18","2010",11234,"Nunavut"
"19","2011",11666,"Nunavut"
"20","2012",11899,"Nunavut"
"21","2013",12275,"Nunavut"
"22","2014",11900,"Nunavut"
