"","Region","Year","Marine.Jobs"
"1","Russia","2010",240227
"2","Russia","2011",242165
"3","Russia","2012",243546
"4","Russia","2013",241684
"5","Russia","2014",238700
"6","Alaska","2004",1433
"7","Alaska","2005",1419
"8","Alaska","2006",1362
"9","Alaska","2007",1419
"10","Alaska","2008",1525
"11","Alaska","2009",1563
"12","Alaska","2010",1612
"13","Alaska","2011",1609
"14","Alaska","2012",1676
"15","Alaska","2013",1703
"16","Alaska","2014",1882
"17","Beaufort","2001",483
"18","Beaufort","2002",568
"19","Beaufort","2003",596
"20","Beaufort","2004",611
"21","Beaufort","2005",611
"22","Beaufort","2006",540
"23","Beaufort","2007",554
"24","Beaufort","2008",568
"25","Beaufort","2009",469
"26","Beaufort","2010",483
"27","Beaufort","2011",596
"28","Beaufort","2012",525
"29","Beaufort","2013",525
"30","Beaufort","2014",454
"31","Beaufort","2015",469
"32","Nunavut","2008",1230
"33","Nunavut","2009",1000
"34","Nunavut","2010",1275
"35","Nunavut","2011",1391
"36","Nunavut","2012",1641
"37","Nunavut","2013",1899
"38","Nunavut","2014",1350
"39","Svalbard","2008",420
"40","Svalbard","2009",398
"41","Svalbard","2010",401
"42","Svalbard","2011",471
"43","Svalbard","2012",520
"44","Svalbard","2013",527
"45","Svalbard","2014",576
"46","Norway Mainland","2009",17123
"47","Norway Mainland","2010",16728
"48","Norway Mainland","2011",16694
"49","Norway Mainland","2012",17248
"50","Norway Mainland","2013",17327
"51","Norway Mainland","2014",17247
"52","Greenland","2008",14345
"53","Greenland","2009",13603
"54","Greenland","2010",13036
"55","Greenland","2011",12647
"56","Greenland","2012",12941
"57","Greenland","2013",12647
"58","Greenland","2014",12677
